viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
nsp15,3,0.23093670623606866,0.24245912963389363,0.29303122619954297,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.7032749428789032,0.23093670623606866,0.23093670623606866,0.2615152819629789,0.23093670623606866,0.23093670623606866,1.0,0.6014851485148515,0.23703848217334048
nsp2,7,0.23093670623606866,0.42915328322129875,1.0,0.2718576942440007,0.23093670623606866,0.3305653145959757,1.0,0.30958794408852647,0.23093670623606866,0.3305653145959757,0.23093670623606866,0.2992463425447023,1.0,0.23093670623606866,0.44995588667777675
nsp4,8,0.274872245289045,0.23093670623606866,0.3305653145959757,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23703848217334048,0.23093670623606866,0.23093670623606866,0.2992463425447023,0.23093670623606866,0.23093670623606866,1.0,0.44995588667777675,0.3305653145959757
nsp5,1,0.274872245289045,0.2718576942440007,0.47175305765870706,0.23093670623606866,0.23703848217334048,0.23093670623606866,1.0,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.2718576942440007,1.0,1.0,1.0
nsp5_c145a,2,0.23093670623606866,0.2615152819629789,0.35174570088587803,0.23093670623606866,0.23093670623606866,0.2718576942440007,1.0,0.24245912963389363,0.23093670623606866,0.274872245289045,0.23093670623606866,0.23093670623606866,1.0,0.37205266918444413,0.7134179675636275
nsp6,4,0.32196285321962853,0.23093670623606866,0.5077472032917577,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.3305653145959757,0.23093670623606866,0.23093670623606866,0.35174570088587803,0.23093670623606866,0.23093670623606866,0.5926583224360172,0.35174570088587803,0.23093670623606866
nsp7,32,0.4064088841316564,0.23093670623606866,0.2992463425447023,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.23093670623606866,0.23093670623606866,0.23703848217334048,0.23093670623606866,0.2528766390152529,0.993707242444361,0.24245912963389363,0.37205266918444413
nsp8,24,0.5926583224360172,0.9877761969745361,1.0,0.274872245289045,0.274872245289045,0.383198729429257,1.0,0.23093670623606866,0.274872245289045,0.23093670623606866,0.23093670623606866,0.3620049504950495,1.0,1.0,1.0
nsp9,16,0.2992463425447023,0.23093670623606866,0.41854185418541856,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.2528766390152529,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.29303122619954297,1.0,1.0,0.7800415299888652
orf10,9,0.28642149929278643,0.383198729429257,0.8429221300508427,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.39553445140432403,0.35174570088587803,0.23703848217334048,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,1.0,1.0
orf3a,8,0.6600147592398992,0.274872245289045,1.0,0.3620049504950495,0.23093670623606866,0.2718576942440007,1.0,0.24245912963389363,0.23093670623606866,0.48327796949076013,0.23093670623606866,0.23093670623606866,0.9670937682003495,0.9609526041361532,0.23093670623606866
orf3b,1,0.23093670623606866,0.274872245289045,0.7032749428789032,0.2615152819629789,0.23093670623606866,0.2528766390152529,1.0,0.274872245289045,0.23093670623606866,0.2718576942440007,0.23093670623606866,0.23093670623606866,1.0,0.9519052795487264,0.8831329561527581
orf6,3,0.23093670623606866,0.2528766390152529,1.0,0.274872245289045,0.23093670623606866,0.2615152819629789,1.0,0.2528766390152529,0.23093670623606866,0.2992463425447023,0.23093670623606866,0.23093670623606866,1.0,0.7357616495594512,1.0
orf7a,2,0.29303122619954297,0.28642149929278643,0.30958794408852647,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.8429221300508427,0.23093670623606866,0.23093670623606866,0.35174570088587803,0.23093670623606866,0.23093670623606866,1.0,0.2992463425447023,0.8764154858599632
orf8,47,0.5320580601749496,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.993707242444361,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866
orf9b,11,0.23093670623606866,0.23093670623606866,0.8831329561527581,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,0.23093670623606866,1.0,0.6014851485148515,1.0
orf9c,26,0.29303122619954297,0.23093670623606866,1.0,0.23093670623606866,0.23093670623606866,0.23703848217334048,0.47175305765870706,0.28642149929278643,0.23093670623606866,0.8141314131413142,0.23093670623606866,0.28642149929278643,0.23093670623606866,0.23093670623606866,0.23093670623606866
