viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
nsp15,3,0.2868872253078966,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,0.5346534653465348,1.0,1.0,1.0,0.6648299612569952,1.0,1.0,1.0,1.0,0.4681542781143786,0.2827494287890328,0.44554455445544555,1.0
nsp2,7,0.32673267326732675,0.729072907290729,1.0,1.0,0.44554455445544555,1.0,0.3095362167795727,1.0,0.44554455445544555,0.49934616103119744,1.0,1.0,1.0,1.0,1.0,0.729072907290729,1.0,1.0,1.0,0.2827494287890328,1.0,1.0
nsp4,8,0.3095362167795727,0.4829961256995265,1.0,1.0,0.2827494287890328,1.0,0.2868872253078966,1.0,0.2827494287890328,0.3805474665113571,1.0,0.2827494287890328,1.0,1.0,0.7441503334006869,0.4829961256995265,0.2827494287890328,1.0,1.0,0.2868872253078966,0.7588629830725009,1.0
nsp5,1,0.3964845922794526,1.0,1.0,1.0,0.2827494287890328,1.0,0.35643564356435636,1.0,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6448671182907764,0.6217996248964104,0.33713817241596766,1.0
nsp5_c145a,2,0.49934616103119744,0.49934616103119744,1.0,1.0,0.3964845922794526,1.0,0.32673267326732675,1.0,0.3964845922794526,0.9726580350342725,1.0,1.0,1.0,0.32673267326732675,1.0,0.49934616103119744,1.0,0.2868872253078966,0.5173267326732671,0.2868872253078966,1.0,1.0
nsp6,4,0.42441563744003274,0.2827494287890328,0.3964845922794526,1.0,0.2827494287890328,0.2827494287890328,0.2827494287890328,1.0,0.2827494287890328,0.2827494287890328,1.0,0.42441563744003274,1.0,1.0,0.41105078249760457,0.2827494287890328,0.3095362167795727,1.0,0.694823912771024,0.2827494287890328,0.2827494287890328,1.0
nsp7,32,0.2827494287890328,0.2827494287890328,0.2827494287890328,1.0,0.2827494287890328,0.2827494287890328,0.2827494287890328,1.0,0.2827494287890328,0.2827494287890328,1.0,0.2868872253078966,1.0,1.0,0.2827494287890328,0.2827494287890328,0.35643564356435636,1.0,1.0,0.2827494287890328,0.2827494287890328,0.33713817241596766
nsp8,24,1.0,1.0,1.0,1.0,0.41105078249760457,1.0,0.2827494287890328,1.0,0.41105078249760457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42441563744003274,1.0,1.0,1.0
nsp9,16,0.2827494287890328,1.0,1.0,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6011881188118812,1.0,1.0
orf10,9,0.5346534653465348,1.0,0.9726580350342725,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,0.6217996248964104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5173267326732671,1.0,1.0
orf3a,8,0.2827494287890328,0.729072907290729,0.8994758299359348,0.7763168316831683,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,0.2827494287890328,1.0,1.0,1.0,1.0,0.6785986290936785,0.729072907290729,0.6011881188118812,1.0,1.0,0.2868872253078966,0.2827494287890328,1.0
orf3b,1,0.8435170210248115,0.41105078249760457,0.6648299612569952,1.0,0.2827494287890328,0.2827494287890328,0.2827494287890328,1.0,0.2827494287890328,0.2827494287890328,1.0,1.0,1.0,0.32673267326732675,1.0,0.41105078249760457,1.0,0.694823912771024,1.0,0.2827494287890328,0.2827494287890328,1.0
orf6,3,0.5802068996137283,1.0,1.0,1.0,0.35643564356435636,1.0,0.3095362167795727,1.0,0.35643564356435636,0.41105078249760457,0.2827494287890328,0.2827494287890328,1.0,1.0,1.0,1.0,0.5802068996137283,1.0,0.5173267326732671,0.3805474665113571,1.0,1.0
orf7a,2,0.9574027170158875,1.0,1.0,1.0,0.2868872253078966,1.0,0.2827494287890328,1.0,0.2868872253078966,0.32673267326732675,1.0,1.0,1.0,1.0,0.41105078249760457,1.0,0.32673267326732675,1.0,0.33713817241596766,0.35643564356435636,1.0,1.0
orf8,47,0.42441563744003274,1.0,1.0,1.0,0.2827494287890328,1.0,0.33713817241596766,1.0,0.2827494287890328,0.2827494287890328,1.0,0.2868872253078966,1.0,1.0,1.0,1.0,0.33713817241596766,1.0,0.5173267326732671,0.2827494287890328,1.0,1.0
orf9b,11,0.3805474665113571,0.2827494287890328,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,1.0,0.2827494287890328,0.35643564356435636,1.0,1.0,1.0,0.9574027170158875,1.0,0.2827494287890328,1.0,0.8833405079638396,0.3095362167795727,0.3805474665113571,0.2827494287890328,0.2868872253078966
orf9c,26,0.7763168316831683,0.2827494287890328,0.694823912771024,0.3095362167795727,0.32673267326732675,0.2827494287890328,0.3964845922794526,1.0,0.32673267326732675,0.49934616103119744,0.2827494287890328,0.2827494287890328,0.7588629830725009,1.0,0.32673267326732675,0.2827494287890328,0.2827494287890328,0.3964845922794526,0.2827494287890328,0.2827494287890328,1.0,1.0
