ERN1,"['nsp10', 'nsp11', 'nsp4', 'nsp5_c145a', 'nsp6', 'nsp9', 'orf3a', 'orf8', 'orf9b', 'orf9c']"
EIF2AK2,['n']
ATF4,['nsp9']
CEBPB,[]
DNAJB9,"['nsp11', 'orf7a', 'orf9c']"
CD80,"['e', 'm', 'spike', 'nsp10', 'nsp11', 'nsp15', 'nsp7', 'orf3a', 'orf6', 'orf7a', 'orf8', 'orf9b', 'orf9c']"
CD86 ,"['nsp10', 'nsp7']"
INFalpha ,[]
IL-7 ,"['m', 'orf10', 'orf9c']"
CTLA-4 ,"['nsp10', 'nsp15', 'nsp7', 'orf9b']"
PD-1 ,"['m', 'spike', 'nsp15', 'nsp4', 'orf6', 'orf9c']"
Ki67 ,"['n', 'nsp5', 'nsp7', 'nsp8', 'orf3a', 'orf3b', 'orf7a']"
CD64   ,[]
CD66b ,"['m', 'spike', 'nsp10']"
CRP,['orf8']
ferritin l,[]
ferritin h,['nsp4']
FAS ,"['nsp11', 'nsp2', 'nsp4', 'nsp7', 'orf3a', 'orf6', 'orf7a', 'orf9c']"
ACE2 ,"['e', 'nsp10', 'nsp12', 'nsp15', 'nsp2', 'nsp4', 'nsp6', 'orf10', 'orf7a', 'orf8', 'orf9b', 'orf9c']"
ITGAM  cd1b,['nsp11']
CD14,['nsp5']
FCGR3Acd16,['nsp10']
CD68,"['m', 'orf6', 'orf7a']"
CD163,['n']
MRC1 cd206,['orf8']
CXCL2 ,"['nsp4', 'nsp9']"
GDF11,"['nsp1', 'nsp5_c145a', 'orf8']"
NOG,"['spike', 'nsp5_c145a', 'orf3a', 'orf8', 'orf9c']"
TNFSF10,"['spike', 'nsp11', 'nsp12', 'nsp14', 'nsp15', 'orf10', 'orf3a', 'orf9b']"
NRG1,"['spike', 'nsp11', 'nsp15', 'nsp4', 'nsp6', 'orf3a', 'orf6', 'orf7a', 'orf8', 'orf9c']"
TIMP1,"['nsp10', 'nsp6', 'nsp9', 'orf8']"
C5,"['nsp11', 'nsp4', 'orf9c']"
IL18,"['nsp2', 'orf7a']"
AREG,"['e', 'nsp12', 'nsp6']"
CCL4,"['spike', 'nsp4', 'orf9c']"
CMTM2,"['orf3a', 'orf9c']"
CTSL,['nsp14']
CTSB,"['m', 'nsp11', 'nsp4', 'nsp5_c145a', 'nsp6', 'orf9b']"
DDIT4,['orf9b']
RRAS,"['m', 'nsp2']"
