viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
nsp15,3,0.00031233063801701713,5.113600807757371e-05,7.761473528415795e-05,3.8694912171082516e-05,4.234904569540686e-05,0.00016676832080494313,4.3544409411283645e-05,4.917230568016653e-05,4.234904569540686e-05,0.0003148507502035595,4.067030015830455e-05,8.899887146907094e-05,2.586224124930889e-05,6.239714383705248e-05,3.6433124879736375e-05,5.113600807757371e-05,0.00011320156204767533,4.682616393967364e-05,4.979258532006183e-05,6.587213653977899e-05,9.523291465257338e-05,1.3175550864045234e-05
nsp2,7,0.0005436063236399691,0.00010758295282390807,7.596968105494747e-05,5.901651094737542e-05,6.922399440783134e-05,0.00027774421853025554,7.245603137641375e-05,0.00011180614911133436,6.922399440783134e-05,0.0006087209929091849,7.097366935121096e-05,0.00019199731365949533,5.0198195229496235e-05,9.54497952274694e-05,6.483107245206406e-05,0.00010758295282390807,0.00020389305786973997,8.037134033585938e-05,7.942841347840277e-05,0.00023905554890370648,0.00016315121689078942,2.4135750621701875e-05
nsp4,8,0.0004468775964544651,9.305707425276659e-05,6.808691709801877e-05,6.498524976937138e-05,7.176051696891928e-05,0.00029764520327233367,5.8560878745033995e-05,7.297314539597772e-05,7.176051696891928e-05,0.0005326652717104689,6.372379654119968e-05,0.0002625910224772592,4.7075365335886e-05,7.6896362177588e-05,5.837597523235458e-05,9.305707425276659e-05,0.0002647988150137403,6.232126560277163e-05,6.720493557370864e-05,0.00011087952636449163,0.00013941693628719053,2.078671024562196e-05
nsp5,1,0.00019900204599345545,3.424460509699585e-05,2.9296513231740885e-05,2.3205017524923318e-05,2.7327313787466366e-05,9.711123234226713e-05,2.9795131325819063e-05,3.4394730037312635e-05,2.7327313787466366e-05,0.0002005187976402327,3.2775569377059556e-05,5.600552715224315e-05,1.673141029318168e-05,3.5526212639326006e-05,2.0472943621552007e-05,3.424460509699585e-05,6.875834951101718e-05,3.145176279021083e-05,3.7021357421331976e-05,3.741880085599698e-05,9.829572629967822e-05,9.053897833734274e-06
nsp5_c145a,2,0.00010797227735890778,2.222249577295078e-05,1.70332764494397e-05,1.2182923087759794e-05,1.4736873375741095e-05,6.1003904125401315e-05,1.6266702714631543e-05,1.737520277163066e-05,1.4736873375741095e-05,0.00012065708185800024,1.5061441110699205e-05,3.557612145199982e-05,1.0209913933380507e-05,3.339605843593729e-05,1.2739976343616582e-05,2.222249577295078e-05,4.20573358402594e-05,2.9846086073235963e-05,1.9278905667088902e-05,2.550195522399642e-05,3.3552608830985335e-05,5.014756032252227e-06
nsp6,4,0.00020766848620763735,7.231750740978034e-05,4.088373119327961e-05,3.684396150634928e-05,3.5798664429263e-05,0.00020271824926394489,2.9716175738144755e-05,3.4161520899446393e-05,3.5798664429263e-05,0.00038506689547319694,3.242455702129757e-05,0.000100232499405383,2.7319740860871783e-05,3.43537690385143e-05,3.0280994703428117e-05,7.231750740978034e-05,0.00013632039007175349,3.2354996620412305e-05,3.406422423306147e-05,6.562189324577295e-05,0.00010417005852336664,1.2720630090631126e-05
nsp7,32,0.0036423594112732,0.0008930413545260489,0.000736145199664729,0.000374695712515893,0.00039570528454009677,0.004671856661991874,0.0003911567404026316,0.00040808603206438776,0.00039570528454009677,0.004411318743969322,0.000384592139967785,0.0011095478443163274,0.00028551273983615233,0.0004210199801241605,0.0005977476594852984,0.0008930413545260489,0.001333952103186934,0.0004035605432777086,0.00037875305714890584,0.0008605054239196121,0.002055108494490662,0.0002905911115957815
nsp8,24,0.0016230134929566093,0.00032487850616998425,0.00026919330922612055,0.0001884169385539363,0.00022479069125118245,0.0009301259296715897,0.00027316254057144354,0.0002908085256838373,0.00022479069125118245,0.001936590007845658,0.0002546937863207659,0.00053551404931634,0.00016697171908904338,0.00037516628139340756,0.00018519657092603854,0.00032487850616998425,0.000643742660125542,0.00027063945267764237,0.0004012302541192385,0.0003495990426754002,0.0005215724536169774,7.940220855081309e-05
nsp9,16,0.0022546367505268347,0.0001785255621746787,0.00015204005521347552,0.00012185384347876315,0.0001816693894425138,0.0005091907632225334,0.00016319602533359094,0.00020781293245032576,0.0001816693894425138,0.0011091504240533369,0.00014257729527511245,0.0003066021762732201,9.522495498107699e-05,0.00018251031063777493,0.00010181095620320402,0.0001785255621746787,0.0003656517920144617,0.00015994948258735001,0.0001791137888682427,0.0001991390387634318,0.00028854560378873404,4.523475795098772e-05
orf10,9,0.0008480131895126402,0.00015843575990910101,0.00014862315252044822,8.845586204018142e-05,0.0002667937334760643,0.00041646106926612454,0.00012535442565868532,0.00012978367171764547,0.0002667937334760643,0.0012041384931605458,0.00011814540343294797,0.00026499184034499656,8.038779501003659e-05,0.00019528474829928297,8.579577759118396e-05,0.00015843575990910101,0.00032880099185719145,0.00014092245822461044,0.00015245013096609343,0.00017268894937642868,0.0002574935141637756,3.8569709023047444e-05
orf3a,8,0.0005033747459851664,8.995480449019773e-05,7.284633367751041e-05,9.917678749661662e-05,6.319161651574086e-05,0.00030110362336028835,5.514484122174983e-05,8.390898047770174e-05,6.319161651574086e-05,0.0020340539702648906,6.582016723946954e-05,0.00017180580746647002,6.39365461297377e-05,7.642016224454948e-05,6.302794845715196e-05,8.995480449019773e-05,0.00022410456861047913,6.199005131897799e-05,6.65517215091608e-05,0.0001171267361131866,0.0001754960530661952,2.4461133749104594e-05
orf3b,1,8.408730701686737e-05,2.19052247327581e-05,1.5176346857767258e-05,1.1112020837262283e-05,1.2354645580069228e-05,0.00010164154955361244,1.2604165094026012e-05,1.4135119448611214e-05,1.2354645580069228e-05,0.00013477332955555698,1.2131898345039199e-05,3.2332671580688225e-05,8.774060412574135e-06,3.418575081632418e-05,1.073425198142974e-05,2.19052247327581e-05,4.0867200169097586e-05,1.8010898987952977e-05,1.4531489554651985e-05,2.4778003403780762e-05,4.130971454102025e-05,4.161727167931675e-06
orf6,3,0.00023678422580183106,4.725584949279342e-05,4.0140659310636934e-05,2.9382606239341216e-05,3.302128229981756e-05,0.00015172670637390108,5.782744524330295e-05,3.897632798773768e-05,3.302128229981756e-05,0.0002951839908435685,7.606478379333579e-05,0.00017222105629203458,2.373557939044753e-05,4.571633390318339e-05,3.0854102755775364e-05,4.725584949279342e-05,0.00013293016108659417,3.684387361315273e-05,4.803325775614452e-05,5.876547786481017e-05,7.842136764553636e-05,1.1000741329557359e-05
orf7a,2,0.00011750370873985031,2.458089147966823e-05,2.0565539974139482e-05,1.6214558450334774e-05,1.931295811802192e-05,7.947437761871682e-05,1.757141368620183e-05,2.014544553535613e-05,1.931295811802192e-05,0.0001775732396546871,2.0204541488215264e-05,5.097077361716222e-05,1.2741702667823909e-05,2.1032035782015817e-05,2.0627001776276938e-05,2.458089147966823e-05,7.613075987221645e-05,1.9585948617734487e-05,2.88922619725153e-05,2.815293126354393e-05,4.0347410427276155e-05,6.177618202353895e-06
orf8,47,0.0030544229294874985,0.0004903821870279022,0.00038804635393152956,0.00039409062674231797,0.0007657629634323168,0.0016447939324160427,0.00035494090290832416,0.0005971106573769164,0.0007657629634323168,0.004123078241527093,0.0004462162410013502,0.0013636209792350776,0.0004731833661435762,0.000527034632222349,0.0003379932610424293,0.0004903821870279022,0.0013354798062814755,0.0005008966847869286,0.00048823437137630117,0.0008067366788199561,0.0007452538882042867,0.00011863031070961877
orf9b,11,0.0006888274540000633,0.00036508882320113677,0.0003874380919211088,0.00010817538927555514,0.0001304682487788442,0.0003865861595781321,0.0001316437562795485,0.00011232553870860608,0.0001304682487788442,0.0008439720988769699,0.00010832795484432491,0.0002159947206151073,6.607005219158116e-05,0.00015971580775851462,8.493090247783477e-05,0.00036508882320113677,0.0002895659651861405,0.00014047789097201493,0.00017514078423473583,0.00015118342897679272,0.00037445627386753044,0.00017441398482628682
orf9c,26,0.0013007726635699513,0.0005983101740470628,0.0002604898619436036,0.00045554214587897895,0.00020369401017635816,0.0013234568617045334,0.00017605255633430745,0.0002728886124380136,0.00020369401017635816,0.0020377984145221375,0.0006668298265510738,0.0011407542539460236,0.0002968320452273676,0.00024140250273945693,0.00027582559180535233,0.0005983101740470628,0.001174688152739435,0.0003186406860191878,0.0003515396628421809,0.0004215586299933533,0.0004032761551033946,9.000270184408981e-05
