viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
nsp15,3,0.0891089108910891,1.0,1.0,0.8217821782178217,0.26732673267326734,0.3465346534653465,0.38613861386138615,0.07920792079207921,0.0297029702970297,0.04950495049504951,0.7227722772277227,1.0,0.693069306930693,0.0297029702970297,1.0,0.18811881188118812,0.07920792079207921,0.4158415841584158,0.6633663366336634,1.0,0.5841584158415841,1.0,0.12871287128712872,1.0,1.0,0.019801980198019802,1.0,1.0,0.07920792079207921,0.5247524752475248,0.19801980198019803,0.0891089108910891
nsp2,7,0.2079207920792079,1.0,1.0,1.0,0.6435643564356436,0.16831683168316833,0.36633663366336633,1.0,0.7821782178217822,1.0,1.0,1.0,0.44554455445544555,1.0,1.0,0.15841584158415842,0.7623762376237624,0.7029702970297029,1.0,1.0,1.0,1.0,0.31683168316831684,1.0,1.0,0.9504950495049505,0.009900990099009901,1.0,0.19801980198019803,1.0,0.8910891089108911,0.19801980198019803
nsp4,8,0.18811881188118812,1.0,1.0,1.0,0.1485148514851485,1.0,0.04950495049504951,0.009900990099009901,0.15841584158415842,1.0,1.0,1.0,0.5247524752475248,1.0,1.0,0.26732673267326734,0.297029702970297,0.9900990099009901,0.0297029702970297,0.009900990099009901,0.009900990099009901,1.0,0.04950495049504951,1.0,1.0,0.019801980198019802,0.49504950495049505,1.0,0.06930693069306931,1.0,0.009900990099009901,0.09900990099009901
nsp5,1,0.27722772277227725,0.504950495049505,1.0,1.0,0.1782178217821782,0.9801980198019802,0.48514851485148514,1.0,0.0891089108910891,1.0,1.0,0.09900990099009901,0.5148514851485149,0.25742574257425743,1.0,0.1485148514851485,0.33663366336633666,0.9900990099009901,1.0,0.3465346534653465,1.0,1.0,0.15841584158415842,1.0,1.0,1.0,0.21782178217821782,1.0,0.06930693069306931,1.0,0.8712871287128713,0.15841584158415842
nsp5_c145a,2,0.13861386138613863,1.0,1.0,1.0,0.25742574257425743,0.6138613861386139,0.24752475247524752,1.0,0.009900990099009901,0.9702970297029703,1.0,1.0,0.594059405940594,1.0,0.19801980198019803,0.2871287128712871,0.1782178217821782,0.46534653465346537,1.0,0.0297029702970297,1.0,1.0,0.1485148514851485,1.0,1.0,0.27722772277227725,1.0,1.0,0.09900990099009901,1.0,0.5742574257425742,0.10891089108910891
nsp6,4,0.10891089108910891,1.0,0.40594059405940597,0.0891089108910891,0.40594059405940597,0.693069306930693,0.16831683168316833,1.0,0.33663366336633666,1.0,1.0,1.0,1.0,1.0,1.0,0.2079207920792079,0.04950495049504951,0.49504950495049505,0.9900990099009901,0.37623762376237624,1.0,0.04950495049504951,0.07920792079207921,1.0,1.0,0.16831683168316833,0.13861386138613863,1.0,0.0594059405940594,0.22772277227722773,0.06930693069306931,0.0891089108910891
nsp7,32,0.1782178217821782,1.0,1.0,1.0,0.5247524752475248,0.9504950495049505,0.12871287128712872,1.0,0.2871287128712871,1.0,1.0,1.0,0.42574257425742573,1.0,1.0,0.0594059405940594,0.009900990099009901,0.9603960396039604,1.0,0.40594059405940597,1.0,1.0,0.04950495049504951,0.5742574257425742,1.0,0.0891089108910891,0.27722772277227725,1.0,0.039603960396039604,0.594059405940594,0.09900990099009901,0.13861386138613863
nsp8,24,0.13861386138613863,1.0,1.0,1.0,0.0297029702970297,1.0,0.9207920792079208,1.0,0.6732673267326733,1.0,0.297029702970297,1.0,0.3069306930693069,0.48514851485148514,1.0,1.0,0.019801980198019802,0.09900990099009901,1.0,0.5544554455445545,1.0,1.0,0.8316831683168316,1.0,1.0,1.0,1.0,1.0,0.3564356435643564,1.0,1.0,0.25742574257425743
nsp9,16,0.21782178217821782,1.0,1.0,1.0,0.49504950495049505,0.9306930693069307,0.43564356435643564,1.0,0.42574257425742573,1.0,1.0,1.0,0.6534653465346535,1.0,1.0,0.33663366336633666,1.0,0.9702970297029703,0.1188118811881188,1.0,0.07920792079207921,1.0,0.10891089108910891,1.0,1.0,0.7524752475247525,1.0,1.0,0.21782178217821782,0.19801980198019803,0.6138613861386139,0.18811881188118812
orf10,9,0.3069306930693069,1.0,1.0,1.0,0.25742574257425743,1.0,0.7920792079207921,1.0,0.7821782178217822,0.9900990099009901,0.9108910891089109,1.0,0.36633663366336633,0.7227722772277227,1.0,0.8415841584158416,1.0,0.5148514851485149,0.49504950495049505,1.0,1.0,1.0,0.27722772277227725,1.0,1.0,0.9603960396039604,1.0,1.0,0.06930693069306931,1.0,0.7326732673267327,0.10891089108910891
orf3a,8,0.1485148514851485,1.0,1.0,1.0,1.0,1.0,0.44554455445544555,1.0,0.16831683168316833,1.0,1.0,1.0,1.0,1.0,0.5346534653465347,0.3564356435643564,0.6237623762376238,1.0,1.0,0.18811881188118812,1.0,0.1782178217821782,0.16831683168316833,1.0,1.0,0.3069306930693069,1.0,1.0,0.0594059405940594,0.0594059405940594,0.04950495049504951,0.0594059405940594
orf3b,1,0.1188118811881188,0.1485148514851485,1.0,1.0,0.21782178217821782,1.0,0.38613861386138615,1.0,0.21782178217821782,0.7128712871287128,0.9108910891089109,1.0,0.10891089108910891,0.6237623762376238,1.0,0.1188118811881188,0.12871287128712872,0.5742574257425742,1.0,0.04950495049504951,1.0,1.0,0.16831683168316833,1.0,1.0,0.6633663366336634,0.22772277227722773,1.0,0.0891089108910891,1.0,0.3069306930693069,0.0594059405940594
orf6,3,0.21782178217821782,1.0,1.0,0.900990099009901,0.22772277227722773,1.0,0.15841584158415842,0.1188118811881188,0.5445544554455446,0.8910891089108911,0.9900990099009901,1.0,0.7623762376237624,1.0,1.0,0.18811881188118812,0.297029702970297,1.0,1.0,1.0,1.0,1.0,0.13861386138613863,1.0,1.0,0.7227722772277227,1.0,1.0,0.12871287128712872,0.019801980198019802,0.7326732673267327,0.07920792079207921
