viral,Preys,HK2*,GPI,PFKP,ENO2*,PKM*,LDHA,ALDOA,PGK1,BPGM*,PGD,PGLS,RBKS,DNAJC15*,ATP1A1*,UQCRB,IDH1*,CDK1*,ZDHHC14,IFITM1*,IFITM3*,ACAA1,HMGCS1*,ACAT2,BCKDK,MVD,FDFT1,SQLE*,DGAT1,MTTP,NFKB1*,JUN,FOXO1*,GCLC*,HMOX2*,IL6*,SOD2,ERN1,EIF2AK2,ATF4,CEBPB,DNAJB9
nsp15,3,0.0891089108910891,0.0594059405940594,0.009900990099009901,0.04950495049504951,0.1485148514851485,0.07920792079207921,0.1188118811881188,0.0594059405940594,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.019801980198019802,1.0,0.1188118811881188,0.06930693069306931,0.0297029702970297,0.1188118811881188,0.26732673267326734,1.0,1.0,0.039603960396039604,0.297029702970297,0.019801980198019802,0.24752475247524752,0.0594059405940594,0.6039603960396039,1.0,0.9900990099009901,0.9702970297029703,0.24752475247524752,0.039603960396039604,0.04950495049504951,0.019801980198019802,0.3069306930693069,0.06930693069306931,0.0297029702970297,0.0891089108910891,0.9900990099009901,0.1188118811881188,0.1188118811881188,1.0
nsp2,7,0.1188118811881188,0.9405940594059405,0.43564356435643564,0.24752475247524752,0.22772277227722773,0.15841584158415842,0.32673267326732675,0.1485148514851485,1.0,0.06930693069306931,0.22772277227722773,0.0594059405940594,1.0,0.13861386138613863,0.0297029702970297,0.19801980198019803,0.19801980198019803,0.9900990099009901,1.0,1.0,0.06930693069306931,0.49504950495049505,0.0594059405940594,0.693069306930693,0.039603960396039604,0.8316831683168316,1.0,1.0,0.9504950495049505,0.8712871287128713,0.21782178217821782,0.04950495049504951,0.6039603960396039,0.009900990099009901,0.22772277227722773,0.12871287128712872,0.0594059405940594,1.0,0.5544554455445545,0.33663366336633666,1.0
nsp4,8,0.07920792079207921,0.1188118811881188,0.09900990099009901,0.039603960396039604,0.1782178217821782,0.04950495049504951,0.1188118811881188,0.0891089108910891,1.0,0.009900990099009901,0.0297029702970297,0.0297029702970297,0.9405940594059405,0.1188118811881188,0.009900990099009901,0.04950495049504951,0.06930693069306931,0.4752475247524752,1.0,0.9900990099009901,0.09900990099009901,0.33663366336633666,0.0297029702970297,0.09900990099009901,0.009900990099009901,0.8514851485148515,0.019801980198019802,0.1188118811881188,0.3465346534653465,0.5445544554455446,0.039603960396039604,0.09900990099009901,0.1485148514851485,0.04950495049504951,0.10891089108910891,0.07920792079207921,0.0297029702970297,0.33663366336633666,0.42574257425742573,0.15841584158415842,0.32673267326732675
nsp5,1,0.2871287128712871,0.38613861386138615,0.1485148514851485,0.27722772277227725,0.009900990099009901,0.09900990099009901,0.25742574257425743,0.06930693069306931,0.39603960396039606,0.07920792079207921,0.8514851485148515,0.12871287128712872,1.0,0.18811881188118812,0.594059405940594,0.12871287128712872,0.19801980198019803,0.9108910891089109,1.0,1.0,0.06930693069306931,0.2376237623762376,0.0594059405940594,0.5445544554455446,0.19801980198019803,1.0,1.0,1.0,0.801980198019802,0.019801980198019802,0.009900990099009901,0.04950495049504951,0.38613861386138615,1.0,0.0297029702970297,0.15841584158415842,0.1782178217821782,0.18811881188118812,0.09900990099009901,0.0594059405940594,1.0
nsp5_c145a,2,0.09900990099009901,0.0594059405940594,0.0297029702970297,0.019801980198019802,0.06930693069306931,0.0594059405940594,0.019801980198019802,0.039603960396039604,0.19801980198019803,0.0297029702970297,0.039603960396039604,0.1188118811881188,0.13861386138613863,0.1188118811881188,0.039603960396039604,0.009900990099009901,0.06930693069306931,0.9900990099009901,1.0,1.0,0.0297029702970297,0.3465346534653465,0.0297029702970297,0.27722772277227725,0.10891089108910891,1.0,1.0,1.0,0.504950495049505,0.33663366336633666,0.1485148514851485,0.13861386138613863,0.0891089108910891,0.06930693069306931,0.15841584158415842,0.039603960396039604,0.019801980198019802,0.06930693069306931,0.38613861386138615,0.1485148514851485,1.0
nsp6,4,0.04950495049504951,0.0594059405940594,0.2376237623762376,0.13861386138613863,0.13861386138613863,0.09900990099009901,0.06930693069306931,0.0891089108910891,1.0,0.0891089108910891,0.24752475247524752,0.09900990099009901,0.6732673267326733,0.0297029702970297,0.019801980198019802,0.0594059405940594,0.09900990099009901,0.31683168316831684,0.40594059405940597,0.009900990099009901,0.0297029702970297,0.16831683168316833,0.039603960396039604,0.009900990099009901,0.09900990099009901,0.019801980198019802,0.0297029702970297,0.04950495049504951,0.13861386138613863,0.6138613861386139,0.25742574257425743,0.26732673267326734,0.32673267326732675,0.04950495049504951,0.04950495049504951,0.0297029702970297,0.0297029702970297,1.0,0.7227722772277227,0.8316831683168316,0.0891089108910891
nsp7,32,0.16831683168316833,0.06930693069306931,0.297029702970297,0.039603960396039604,0.019801980198019802,0.009900990099009901,0.19801980198019803,0.33663366336633666,1.0,0.1485148514851485,0.19801980198019803,0.0594059405940594,0.04950495049504951,0.009900990099009901,0.019801980198019802,0.26732673267326734,0.3564356435643564,0.46534653465346537,1.0,0.31683168316831684,0.12871287128712872,0.594059405940594,0.1485148514851485,0.49504950495049505,0.1188118811881188,0.0297029702970297,0.06930693069306931,0.06930693069306931,0.009900990099009901,0.48514851485148514,0.009900990099009901,0.22772277227722773,0.38613861386138615,0.009900990099009901,0.0891089108910891,0.15841584158415842,0.0891089108910891,1.0,0.9306930693069307,0.6633663366336634,0.09900990099009901
nsp8,24,1.0,0.8910891089108911,0.44554455445544555,0.43564356435643564,0.0891089108910891,0.6039603960396039,0.9702970297029703,0.46534653465346537,1.0,0.32673267326732675,1.0,0.31683168316831684,1.0,0.9900990099009901,0.3465346534653465,0.8712871287128713,0.16831683168316833,0.9900990099009901,1.0,1.0,0.09900990099009901,1.0,0.24752475247524752,0.6633663366336634,0.8712871287128713,1.0,1.0,1.0,1.0,0.9801980198019802,0.009900990099009901,0.26732673267326734,0.48514851485148514,1.0,0.27722772277227725,0.33663366336633666,0.2079207920792079,0.2079207920792079,0.46534653465346537,0.297029702970297,1.0
nsp9,16,0.3564356435643564,0.5544554455445545,0.25742574257425743,0.12871287128712872,0.1485148514851485,0.2376237623762376,0.1782178217821782,0.1782178217821782,0.2376237623762376,0.039603960396039604,0.6336633663366337,0.15841584158415842,1.0,0.12871287128712872,0.2871287128712871,0.12871287128712872,0.33663366336633666,0.9900990099009901,1.0,1.0,0.10891089108910891,0.9801980198019802,0.09900990099009901,0.4158415841584158,0.0891089108910891,1.0,1.0,1.0,1.0,0.7920792079207921,0.0297029702970297,0.0891089108910891,0.0297029702970297,1.0,0.0297029702970297,0.1188118811881188,0.039603960396039604,1.0,0.019801980198019802,0.1782178217821782,1.0
orf10,9,0.1188118811881188,0.16831683168316833,0.297029702970297,0.019801980198019802,0.09900990099009901,0.019801980198019802,0.18811881188118812,0.09900990099009901,0.10891089108910891,0.15841584158415842,0.9207920792079208,0.26732673267326734,1.0,0.009900990099009901,0.13861386138613863,0.1782178217821782,0.22772277227722773,0.9900990099009901,1.0,1.0,0.10891089108910891,0.9702970297029703,0.07920792079207921,0.12871287128712872,0.12871287128712872,1.0,1.0,1.0,1.0,0.297029702970297,0.009900990099009901,0.18811881188118812,0.31683168316831684,1.0,0.0297029702970297,0.16831683168316833,0.0594059405940594,1.0,0.16831683168316833,0.1188118811881188,0.9405940594059405
orf3a,8,0.9603960396039604,1.0,0.49504950495049505,0.16831683168316833,0.1782178217821782,0.1188118811881188,0.1782178217821782,0.13861386138613863,1.0,0.0891089108910891,0.26732673267326734,0.04950495049504951,1.0,0.10891089108910891,0.4158415841584158,0.15841584158415842,0.6138613861386139,0.36633663366336633,1.0,0.8316831683168316,0.06930693069306931,0.7524752475247525,0.07920792079207921,1.0,0.15841584158415842,0.019801980198019802,0.07920792079207921,0.039603960396039604,0.43564356435643564,1.0,0.45544554455445546,0.4752475247524752,0.48514851485148514,0.0891089108910891,0.15841584158415842,0.1188118811881188,0.009900990099009901,1.0,0.5148514851485149,0.8811881188118812,0.0594059405940594
orf3b,1,0.0594059405940594,0.0297029702970297,0.1485148514851485,0.09900990099009901,0.0891089108910891,0.039603960396039604,0.04950495049504951,0.04950495049504951,1.0,0.039603960396039604,0.1188118811881188,0.1188118811881188,0.2079207920792079,0.04950495049504951,0.009900990099009901,0.04950495049504951,0.0297029702970297,0.6831683168316832,1.0,0.019801980198019802,0.0297029702970297,0.16831683168316833,0.039603960396039604,0.2376237623762376,0.0297029702970297,0.039603960396039604,1.0,0.49504950495049505,0.32673267326732675,0.21782178217821782,0.009900990099009901,0.1782178217821782,0.1485148514851485,0.019801980198019802,0.13861386138613863,0.019801980198019802,0.09900990099009901,0.25742574257425743,0.4752475247524752,0.31683168316831684,1.0
orf6,3,0.009900990099009901,0.07920792079207921,0.2079207920792079,0.09900990099009901,0.18811881188118812,0.12871287128712872,0.04950495049504951,0.0297029702970297,1.0,0.0297029702970297,0.1782178217821782,0.1188118811881188,1.0,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.0891089108910891,0.9900990099009901,1.0,0.5742574257425742,0.06930693069306931,0.8712871287128713,0.039603960396039604,0.43564356435643564,0.09900990099009901,0.5445544554455446,1.0,0.9900990099009901,0.7821782178217822,0.39603960396039606,0.009900990099009901,0.06930693069306931,0.3069306930693069,0.13861386138613863,0.1485148514851485,0.04950495049504951,0.07920792079207921,0.7722772277227723,0.1188118811881188,0.0594059405940594,1.0
orf7a,2,0.09900990099009901,0.6336633663366337,0.0297029702970297,0.44554455445544555,0.039603960396039604,0.1485148514851485,0.16831683168316833,0.2376237623762376,1.0,0.09900990099009901,0.5742574257425742,0.25742574257425743,1.0,0.2376237623762376,0.2871287128712871,0.6336633663366337,0.07920792079207921,0.6831683168316832,1.0,0.6732673267326733,0.2376237623762376,1.0,0.019801980198019802,0.04950495049504951,0.12871287128712872,0.15841584158415842,0.9900990099009901,0.2079207920792079,0.6831683168316832,0.6039603960396039,0.0297029702970297,0.06930693069306931,0.16831683168316833,0.09900990099009901,0.0891089108910891,0.25742574257425743,0.10891089108910891,0.9108910891089109,0.5544554455445545,0.31683168316831684,0.019801980198019802
orf8,47,0.019801980198019802,0.21782178217821782,0.5742574257425742,0.06930693069306931,0.26732673267326734,0.25742574257425743,0.06930693069306931,0.3069306930693069,1.0,0.2871287128712871,0.12871287128712872,0.07920792079207921,1.0,0.5148514851485149,0.1485148514851485,0.19801980198019803,0.5742574257425742,0.8514851485148515,0.9900990099009901,0.24752475247524752,0.07920792079207921,0.9207920792079208,0.13861386138613863,0.40594059405940597,0.0594059405940594,0.297029702970297,0.3465346534653465,0.0891089108910891,0.04950495049504951,0.5346534653465347,0.07920792079207921,0.2079207920792079,0.6732673267326733,0.31683168316831684,0.039603960396039604,0.019801980198019802,0.019801980198019802,1.0,0.8613861386138614,0.6039603960396039,0.07920792079207921
orf9b,11,0.039603960396039604,0.09900990099009901,0.06930693069306931,0.10891089108910891,0.009900990099009901,0.10891089108910891,0.10891089108910891,0.0891089108910891,0.9702970297029703,0.04950495049504951,0.13861386138613863,0.07920792079207921,1.0,0.10891089108910891,0.1188118811881188,0.0594059405940594,0.24752475247524752,0.18811881188118812,0.49504950495049505,0.12871287128712872,0.07920792079207921,0.07920792079207921,0.04950495049504951,0.40594059405940597,0.019801980198019802,1.0,1.0,1.0,0.42574257425742573,0.504950495049505,0.009900990099009901,0.07920792079207921,0.009900990099009901,0.8316831683168316,0.0297029702970297,0.0891089108910891,0.0297029702970297,0.3069306930693069,0.09900990099009901,0.13861386138613863,1.0
orf9c,26,0.8514851485148515,1.0,1.0,1.0,0.49504950495049505,0.8217821782178217,0.7623762376237624,1.0,1.0,0.44554455445544555,1.0,0.39603960396039606,1.0,0.21782178217821782,0.07920792079207921,0.5841584158415841,1.0,0.9207920792079208,0.16831683168316833,0.19801980198019803,0.07920792079207921,1.0,0.8217821782178217,0.31683168316831684,0.7029702970297029,0.0891089108910891,0.0297029702970297,0.019801980198019802,0.6336633663366337,1.0,0.6336633663366337,1.0,1.0,0.039603960396039604,0.1188118811881188,0.15841584158415842,0.04950495049504951,1.0,1.0,1.0,0.0297029702970297
