viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
nsp15,3,0.0891089108910891,0.12871287128712872,0.18811881188118812,0.07920792079207921,0.0891089108910891,0.06930693069306931,0.5643564356435643,0.009900990099009901,0.0594059405940594,0.1485148514851485,0.0891089108910891,0.0891089108910891,1.0,0.4752475247524752,0.1188118811881188
nsp2,7,0.10891089108910891,0.31683168316831684,1.0,0.15841584158415842,0.04950495049504951,0.22772277227722773,1.0,0.2079207920792079,0.009900990099009901,0.22772277227722773,0.009900990099009901,0.19801980198019803,1.0,0.10891089108910891,0.33663366336633666
nsp4,8,0.16831683168316833,0.04950495049504951,0.22772277227722773,0.0594059405940594,0.07920792079207921,0.10891089108910891,0.1188118811881188,0.10891089108910891,0.039603960396039604,0.19801980198019803,0.04950495049504951,0.09900990099009901,1.0,0.33663366336633666,0.22772277227722773
nsp5,1,0.16831683168316833,0.15841584158415842,0.3564356435643564,0.06930693069306931,0.1188118811881188,0.0297029702970297,1.0,0.09900990099009901,0.09900990099009901,0.019801980198019802,0.06930693069306931,0.15841584158415842,1.0,0.900990099009901,0.9801980198019802
nsp5_c145a,2,0.10891089108910891,0.1485148514851485,0.24752475247524752,0.09900990099009901,0.09900990099009901,0.15841584158415842,0.8613861386138614,0.12871287128712872,0.0594059405940594,0.16831683168316833,0.09900990099009901,0.10891089108910891,1.0,0.26732673267326734,0.5742574257425742
nsp6,4,0.21782178217821782,0.07920792079207921,0.38613861386138615,0.10891089108910891,0.0594059405940594,0.04950495049504951,0.22772277227722773,0.07920792079207921,0.039603960396039604,0.24752475247524752,0.039603960396039604,0.0891089108910891,0.46534653465346537,0.24752475247524752,0.0891089108910891
nsp7,32,0.297029702970297,0.04950495049504951,0.19801980198019803,0.0891089108910891,0.039603960396039604,0.0891089108910891,0.9306930693069307,0.06930693069306931,0.019801980198019802,0.1188118811881188,0.04950495049504951,0.13861386138613863,0.8415841584158416,0.12871287128712872,0.26732673267326734
nsp8,24,0.46534653465346537,0.8316831683168316,1.0,0.16831683168316833,0.16831683168316833,0.27722772277227725,1.0,0.0297029702970297,0.16831683168316833,0.07920792079207921,0.10891089108910891,0.25742574257425743,1.0,1.0,1.0
nsp9,16,0.19801980198019803,0.10891089108910891,0.3069306930693069,0.10891089108910891,0.0891089108910891,0.0297029702970297,0.13861386138613863,0.09900990099009901,0.10891089108910891,0.07920792079207921,0.0594059405940594,0.18811881188118812,1.0,0.9405940594059405,0.6336633663366337
orf10,9,0.1782178217821782,0.27722772277227725,0.693069306930693,0.09900990099009901,0.0297029702970297,0.0297029702970297,0.2871287128712871,0.24752475247524752,0.1188118811881188,0.0891089108910891,0.019801980198019802,0.10891089108910891,1.0,0.9801980198019802,0.9801980198019802
orf3a,8,0.5247524752475248,0.16831683168316833,1.0,0.25742574257425743,0.0891089108910891,0.15841584158415842,1.0,0.12871287128712872,0.019801980198019802,0.36633663366336633,0.07920792079207921,0.0594059405940594,0.8118811881188119,0.801980198019802,0.09900990099009901
orf3b,1,0.0594059405940594,0.16831683168316833,0.5643564356435643,0.1485148514851485,0.09900990099009901,0.13861386138613863,1.0,0.16831683168316833,0.04950495049504951,0.15841584158415842,0.0891089108910891,0.0594059405940594,1.0,0.7920792079207921,0.7326732673267327
orf6,3,0.0891089108910891,0.13861386138613863,0.8613861386138614,0.16831683168316833,0.07920792079207921,0.1485148514851485,1.0,0.13861386138613863,0.0594059405940594,0.19801980198019803,0.09900990099009901,0.07920792079207921,1.0,0.594059405940594,0.8910891089108911
orf7a,2,0.18811881188118812,0.1782178217821782,0.2079207920792079,0.10891089108910891,0.10891089108910891,0.0891089108910891,0.693069306930693,0.0891089108910891,0.039603960396039604,0.24752475247524752,0.0891089108910891,0.09900990099009901,1.0,0.19801980198019803,0.7227722772277227
orf8,47,0.40594059405940597,0.0891089108910891,0.009900990099009901,0.04950495049504951,0.019801980198019802,0.039603960396039604,0.8415841584158416,0.009900990099009901,0.009900990099009901,0.04950495049504951,0.04950495049504951,0.009900990099009901,0.04950495049504951,0.009900990099009901,0.09900990099009901
orf9b,11,0.0297029702970297,0.10891089108910891,0.7326732673267327,0.06930693069306931,0.06930693069306931,0.0297029702970297,0.9900990099009901,0.07920792079207921,0.0891089108910891,0.019801980198019802,0.019801980198019802,0.0891089108910891,1.0,0.4752475247524752,0.8910891089108911
orf9c,26,0.18811881188118812,0.009900990099009901,1.0,0.06930693069306931,0.0297029702970297,0.1188118811881188,0.3564356435643564,0.1782178217821782,0.009900990099009901,0.6633663366336634,0.019801980198019802,0.1782178217821782,0.019801980198019802,0.039603960396039604,0.009900990099009901
