viral,Preys,"IKKβ,",IFNλ,TNF‐α,IL‐1β, IL‐2,IL‐6 ,IL‐8 ,IL‐12,IL‐13,IL‐33,IL‐4,IL‐5,IL‐10,IL‐17,IL‐22
nsp4,8,0.0006678833578061707,0.00013296167032667328,0.0008072807819515826,0.00020815495957917794,0.00011151306261438395,0.00016512674774080333,0.00019571778369840788,0.00011063942470349016,0.00012094687336989891,0.00020236756597059486,0.00012451050323477895,6.894883877725747e-05,0.00011432863179190676,0.0001363598392182819,7.466951407399038e-05
nsp5,1,0.00037442131100688404,5.172460406604353e-05,0.0003869170307144675,0.00010486402934665746,5.1819618955989354e-05,0.00010274900452383243,6.429744986920214e-05,5.2971558580292214e-05,4.4251384778879623e-05,0.0001369912214974592,5.83883975167972e-05,3.444476531369532e-05,5.264800787475317e-05,6.013464694579647e-05,3.123257562839099e-05
nsp5_c145a,2,0.00018616176028046885,2.6451130190535386e-05,0.00020852629802061177,5.394037103050149e-05,2.7986301499764244e-05,4.081811396314887e-05,3.734312949284624e-05,3.0228056497385176e-05,2.991108372807561e-05,5.533991659950774e-05,3.289687200226303e-05,1.969287668009881e-05,2.9029567609017692e-05,3.491670982334909e-05,1.7438355255103666e-05
nsp6,4,0.0003131499388412188,7.061931708866148e-05,0.00038213292293778585,0.0001037034283494112,6.320571869124705e-05,8.760965017675123e-05,8.31936453717902e-05,5.901597882794073e-05,6.252987019674876e-05,9.576459123057399e-05,6.50253336284879e-05,3.534974269628788e-05,6.266214377385756e-05,6.886399535964607e-05,4.156441536414466e-05
nsp7,32,0.0039866378288938645,0.0006955490085500004,0.005311537055927078,0.0012836280398218149,0.0006827484229205046,0.0009378087882209687,0.0008609607967713686,0.0006914493950274484,0.0007566310212689595,0.0011694371774740241,0.0009886522591581863,0.0004138065666984448,0.0007343478524445705,0.0008394806959089882,0.0004470419385732753
nsp8,24,0.0029986585382287484,0.00042291428045384795,0.003487310454425306,0.0009335547962680212,0.00043637132438858757,0.0006648382158704439,0.0005606456293349011,0.0005739298035359081,0.00037547096153076016,0.001118277503693243,0.0005203092924615613,0.00029635436894195075,0.00042411781240174934,0.0005115753118271698,0.0002580573103748966
nsp9,16,0.00176083010715282,0.0002751218192991123,0.0020796213228165606,0.0005085279843042841,0.0002610805810208431,0.0006337869880714952,0.00044963970729338217,0.00027608740258116263,0.00024417366814714214,0.0005161833087422038,0.0003021202653611662,0.00016094578316763782,0.0002837125801656248,0.000305010315657253,0.00016868133452526332
orf10,9,0.0017050024011379936,0.0002151157491627314,0.0016031978133269529,0.00044156992697825755,0.0002584487946075301,0.00034368010034495214,0.0003546167547382221,0.00021467150318875368,0.0001825553161505889,0.00047629741657981614,0.0002638745721109276,0.00016037853444762721,0.00021751237408771198,0.00025690361727290245,0.00013321517749251863
orf3a,8,0.00063516570190202,0.00013243182542492483,0.0007306027974332769,0.000202020757959562,0.00011601639643515605,0.000167761765835423,0.00013615633746314195,0.00012439045557594906,0.00030988652040255074,0.00019703204031462317,0.00013320798245265876,7.43313468444136e-05,0.00012797880289352575,0.00013052708840567058,8.648698787071421e-05
orf3b,1,0.00015319214509225477,2.129186609053217e-05,0.00016518933415659516,4.410856222562424e-05,2.169647166463494e-05,3.223225787437332e-05,2.850093102205172e-05,2.2340923574268783e-05,2.1815047495176063e-05,4.573761556075925e-05,2.55181992775175e-05,1.4100836142661222e-05,2.3958715547966297e-05,2.6131699144850318e-05,1.4025354610120197e-05
orf6,3,0.0004297321989214246,6.651559073457627e-05,0.00044497848745249315,0.00012152606897848539,6.048649604047829e-05,9.231988026105331e-05,8.267682190446618e-05,6.365789598517389e-05,6.373219817106028e-05,0.00012236939595561969,7.016302009379727e-05,4.1011484061571186e-05,6.209802980738009e-05,7.504670326334129e-05,3.917763222590487e-05
orf7a,2,0.00020522384294905592,3.158150790042465e-05,0.0002604114371545256,7.34628961646317e-05,3.344633490097367e-05,4.828993954419599e-05,4.68819199283005e-05,3.4645855796846845e-05,3.77993671214504e-05,6.466343111488536e-05,3.967816723249222e-05,2.2659776636854576e-05,3.28329329609438e-05,4.421142590622141e-05,2.0829433691929195e-05
orf8,47,0.003972390476442451,0.0006663239346621589,0.007442532109417884,0.0013223085033611762,0.0017568762020655426,0.0014031720047481433,0.0009165744886759641,0.004463811439349281,0.0008534492081445057,0.0013455473823625191,0.0008857041004193517,0.0005447309454298866,0.0009614704503848156,0.007407544503486099,0.0005004116771213697
orf9b,11,0.002249978083251199,0.00019392492197484144,0.0012649077085880767,0.0004278324730705527,0.0001964710708691197,0.00036347457235831235,0.00024124047489275117,0.00019614406851667295,0.0001593345181762922,0.0004019923372599598,0.0002401303363621358,0.0001316093495905162,0.00018323354426370153,0.00022115275275818403,0.0001095099748710991
orf9c,26,0.0027753509088333213,0.0007418309354201467,0.0024878857946428207,0.0007355918566042327,0.0008938946172461295,0.0005287015818437741,0.0005437816575639013,0.0003612507824458351,0.001168990209358654,0.0006109672380283745,0.0012075082236321193,0.00022397825618725514,0.000564044304852077,0.0010359807590829668,0.0005730324646845585
