viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
nsp4,8,0.06930693069306931,0.16831683168316833,0.6336633663366337,1.0,0.039603960396039604,0.44554455445544555,0.0594059405940594,1.0,0.039603960396039604,0.10891089108910891,1.0,0.04950495049504951,1.0,1.0,0.3069306930693069,0.16831683168316833,0.0297029702970297,1.0,0.801980198019802,0.0594059405940594,0.31683168316831684,0.9900990099009901
nsp5,1,0.1188118811881188,1.0,1.0,1.0,0.04950495049504951,1.0,0.09900990099009901,1.0,0.04950495049504951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24752475247524752,0.2376237623762376,0.0891089108910891,0.9900990099009901
nsp5_c145a,2,0.1782178217821782,0.1782178217821782,0.6732673267326733,1.0,0.1188118811881188,1.0,0.07920792079207921,1.0,0.1188118811881188,0.42574257425742573,1.0,1.0,1.0,0.07920792079207921,0.9900990099009901,0.1782178217821782,1.0,0.0594059405940594,0.18811881188118812,0.0594059405940594,0.45544554455445546,0.9900990099009901
nsp6,4,0.13861386138613863,0.04950495049504951,0.1188118811881188,1.0,0.039603960396039604,0.009900990099009901,0.0297029702970297,1.0,0.039603960396039604,0.0297029702970297,1.0,0.13861386138613863,1.0,1.0,0.12871287128712872,0.04950495049504951,0.06930693069306931,1.0,0.27722772277227725,0.04950495049504951,0.04950495049504951,0.9900990099009901
nsp7,32,0.039603960396039604,0.0297029702970297,0.019801980198019802,1.0,0.0297029702970297,0.009900990099009901,0.04950495049504951,1.0,0.0297029702970297,0.0297029702970297,1.0,0.0594059405940594,1.0,1.0,0.039603960396039604,0.0297029702970297,0.09900990099009901,1.0,0.9801980198019802,0.009900990099009901,0.019801980198019802,0.0891089108910891
nsp8,24,1.0,1.0,1.0,1.0,0.12871287128712872,1.0,0.039603960396039604,1.0,0.12871287128712872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13861386138613863,0.44554455445544555,1.0,0.9900990099009901
nsp9,16,0.0297029702970297,1.0,1.0,1.0,0.019801980198019802,1.0,0.0297029702970297,1.0,0.019801980198019802,0.7425742574257426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48514851485148514,0.22772277227722773,1.0,0.9900990099009901
orf10,9,0.19801980198019803,1.0,0.42574257425742573,1.0,0.019801980198019802,1.0,0.039603960396039604,1.0,0.019801980198019802,0.2376237623762376,1.0,1.0,1.0,0.5148514851485149,1.0,1.0,1.0,1.0,0.48514851485148514,0.18811881188118812,0.9504950495049505,0.9900990099009901
orf3a,8,0.04950495049504951,0.297029702970297,0.38613861386138615,0.32673267326732675,0.019801980198019802,0.6336633663366337,0.04950495049504951,1.0,0.019801980198019802,0.009900990099009901,1.0,0.7821782178217822,1.0,1.0,0.26732673267326734,0.297029702970297,0.22772277227722773,1.0,0.9603960396039604,0.0594059405940594,0.04950495049504951,0.9900990099009901
orf3b,1,0.3564356435643564,0.12871287128712872,0.25742574257425743,1.0,0.0297029702970297,0.0297029702970297,0.0297029702970297,1.0,0.0297029702970297,0.019801980198019802,1.0,1.0,1.0,0.07920792079207921,0.9801980198019802,0.12871287128712872,0.5445544554455446,0.27722772277227725,0.5643564356435643,0.039603960396039604,0.039603960396039604,0.9900990099009901
